,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
1285,Iraq,China,0,21,15911,0.0,0.0
1286,Iraq,Austria,0,21,1361,0.0,0.0
1287,Iraq,Belgium,0,21,1361,0.0,0.0
1288,Iraq,Bulgaria,0,21,1361,0.0,0.0
1289,Iraq,Croatia,0,21,1361,0.0,0.0
1290,Iraq,Cyprus,0,21,1361,0.0,0.0
1291,Iraq,Czech Republic,0,21,1361,0.0,0.0
1292,Iraq,Denmark,0,21,1361,0.0,0.0
1293,Iraq,Estonia,0,21,1361,0.0,0.0
1294,Iraq,Finland,0,21,1361,0.0,0.0
1295,Iraq,France,0,21,1361,0.0,0.0
1296,Iraq,Germany,0,21,1361,0.0,0.0
1297,Iraq,Greece,0,21,1361,0.0,0.0
1298,Iraq,Hungary,0,21,1361,0.0,0.0
1299,Iraq,Ireland,0,21,1361,0.0,0.0
1300,Iraq,Italy,0,21,1361,0.0,0.0
1301,Iraq,Latvia,0,21,1361,0.0,0.0
1302,Iraq,Lithuania,0,21,1361,0.0,0.0
1303,Iraq,Luxembourg,0,21,1361,0.0,0.0
1304,Iraq,Malta,0,21,1361,0.0,0.0
1305,Iraq,Netherlands,0,21,1361,0.0,0.0
1306,Iraq,Poland,0,21,1361,0.0,0.0
1307,Iraq,Portugal,0,21,1361,0.0,0.0
1308,Iraq,Romania,0,21,1361,0.0,0.0
1309,Iraq,Slovakia,0,21,1361,0.0,0.0
1310,Iraq,Slovenia,0,21,1361,0.0,0.0
1311,Iraq,Spain,0,21,1361,0.0,0.0
1312,Iraq,Sweden,0,21,1361,0.0,0.0
1313,Iraq,United Kingdom,0,21,1361,0.0,0.0
1314,Iraq,Iceland,0,21,1361,0.0,0.0
1315,Iraq,Lichtenstein,0,21,1361,0.0,0.0
1316,Iraq,Norway,0,21,1361,0.0,0.0
1317,Iraq,India,0,21,20,0.0,0.0
1319,Iraq,Pakistan,0,21,598,0.0,0.0
1320,Iraq,Russia,0,21,5184,0.0,0.0
1321,Iraq,Saudi Arabia,0,21,1380,0.0,0.0
1322,Iraq,United Arab Emirates,2,21,24537,0.09523809523809523,8.150955699555773e-05
