,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
1323,Pakistan,China,9,598,15911,0.015050167224080268,0.0005656464081453083
1324,Pakistan,Austria,0,598,1361,0.0,0.0
1325,Pakistan,Belgium,0,598,1361,0.0,0.0
1326,Pakistan,Bulgaria,0,598,1361,0.0,0.0
1327,Pakistan,Croatia,0,598,1361,0.0,0.0
1328,Pakistan,Cyprus,0,598,1361,0.0,0.0
1329,Pakistan,Czech Republic,0,598,1361,0.0,0.0
1330,Pakistan,Denmark,0,598,1361,0.0,0.0
1331,Pakistan,Estonia,0,598,1361,0.0,0.0
1332,Pakistan,Finland,0,598,1361,0.0,0.0
1333,Pakistan,France,0,598,1361,0.0,0.0
1334,Pakistan,Germany,0,598,1361,0.0,0.0
1335,Pakistan,Greece,0,598,1361,0.0,0.0
1336,Pakistan,Hungary,0,598,1361,0.0,0.0
1337,Pakistan,Ireland,0,598,1361,0.0,0.0
1338,Pakistan,Italy,0,598,1361,0.0,0.0
1339,Pakistan,Latvia,0,598,1361,0.0,0.0
1340,Pakistan,Lithuania,0,598,1361,0.0,0.0
1341,Pakistan,Luxembourg,0,598,1361,0.0,0.0
1342,Pakistan,Malta,0,598,1361,0.0,0.0
1343,Pakistan,Netherlands,0,598,1361,0.0,0.0
1344,Pakistan,Poland,0,598,1361,0.0,0.0
1345,Pakistan,Portugal,0,598,1361,0.0,0.0
1346,Pakistan,Romania,0,598,1361,0.0,0.0
1347,Pakistan,Slovakia,0,598,1361,0.0,0.0
1348,Pakistan,Slovenia,0,598,1361,0.0,0.0
1349,Pakistan,Spain,0,598,1361,0.0,0.0
1350,Pakistan,Sweden,0,598,1361,0.0,0.0
1351,Pakistan,United Kingdom,0,598,1361,0.0,0.0
1352,Pakistan,Iceland,0,598,1361,0.0,0.0
1353,Pakistan,Lichtenstein,0,598,1361,0.0,0.0
1354,Pakistan,Norway,0,598,1361,0.0,0.0
1355,Pakistan,India,0,598,20,0.0,0.0
1356,Pakistan,Iraq,0,598,21,0.0,0.0
1358,Pakistan,Russia,3,598,5184,0.005016722408026756,0.0005787037037037037
1359,Pakistan,Saudi Arabia,3,598,1380,0.005016722408026756,0.002173913043478261
1360,Pakistan,United Arab Emirates,63,598,24537,0.10535117056856187,0.0025675510453600685
